session_id,model_name,application_domain,task_type,prompt_length,total_tokens,temperature,top_p,rag_enabled,latency_sec,hallucination_flag,user_satisfaction,estimated_cost_usd,successful_response
40,Mistral Large,Retail,QA,696,1123,0.14,0.98,0,2.9,1,4,0.0032,0
41,GPT-4o,Customer Support,QA,942,1780,0.62,0.81,1,2.89,1,4,0.0246,0
42,Mistral Large,Finance,RAG,1604,2765,0.64,0.59,0,9.68,1,3,0.0478,0
43,Mistral Large,Legal,Classification,1377,2519,0.8,0.78,1,4.4,1,4,0.0123,0
44,Llama 3.1,Education,Classification,1549,2131,0.37,0.82,0,8.11,1,4,0.0316,0
45,Claude 3.7,Legal,RAG,664,1122,1.34,0.54,0,2.21,1,4,0.0105,0
46,Mistral Large,Customer Support,RAG,137,1133,0.31,0.71,1,7.43,0,3,0.0094,0
47,Mistral Large,Education,Code Generation,1112,1581,1.12,0.77,1,6.3,0,4,0.017,0
48,GPT-4o,Coding,RAG,1400,2226,1.2,0.86,0,8.51,0,4,0.031,0
49,Mistral Large,Education,RAG,287,1238,1.3,0.59,0,2.59,1,4,0.0194,0
50,Qwen 2.5,Healthcare,QA,526,1005,1.25,0.74,1,6.7,0,5,0.0161,0
51,Llama 3.1,Legal,Code Generation,1954,2943,0.37,0.92,0,7.49,0,5,0.0358,0
52,Gemma 3,Retail,Code Generation,534,1191,1.15,0.58,0,5.6,0,4,0.0029,0
53,Qwen 2.5,Retail,QA,1869,2097,1.44,0.7,0,8.11,0,5,0.0156,0
54,Mistral Large,Customer Support,RAG,1640,1801,1.48,0.89,1,4.96,1,4,0.0147,0
55,Qwen 2.5,Education,Translation,226,1137,0.65,0.68,0,7.44,1,3,0.013,0
56,Mistral Large,Finance,RAG,1665,2187,1.38,0.89,1,5.91,1,5,0.0078,0
57,Gemma 3,Education,Translation,1177,2195,0.92,0.69,0,1.9,1,4,0.0359,0
58,Llama 3.1,Coding,RAG,1446,1960,1.32,0.78,0,6.04,0,5,0.0212,0
59,Claude 3.7,Education,RAG,1332,2180,1.07,0.72,0,2.0,1,5,0.0164,0
60,GPT-4o,Coding,Summarization,1143,2092,0.8,0.71,1,7.45,1,4,0.0137,0
61,Claude 3.7,Customer Support,Translation,656,1119,0.18,0.77,0,6.97,0,5,0.0078,0
62,Llama 3.1,Education,QA,1232,1619,0.42,0.55,1,3.25,0,4,0.0239,1
63,Mistral Large,Education,Summarization,121,166,0.83,0.85,0,1.34,1,5,0.0017,0
64,GPT-4o,Finance,Summarization,1987,3014,0.08,0.97,1,6.41,0,4,0.0402,0
65,Mistral Large,Education,Translation,1671,2153,0.84,0.65,1,10.04,0,4,0.019,0
66,Llama 3.1,Finance,Translation,888,1340,0.46,0.81,0,6.07,0,4,0.0046,0
67,Qwen 2.5,Customer Support,RAG,163,249,0.23,0.7,1,5.78,1,4,0.0037,0
68,Gemma 3,Customer Support,Summarization,155,410,1.03,0.96,1,6.54,0,4,0.0056,0
69,Mistral Large,Education,Translation,156,430,0.09,0.9,1,5.04,1,4,0.0032,0
70,Qwen 2.5,Customer Support,Translation,1115,1647,0.74,0.54,1,1.9,1,4,0.0101,0
71,Gemma 3,Finance,Translation,1212,1590,1.43,1.0,0,6.96,1,4,0.0218,0
72,Llama 3.1,Education,RAG,902,1604,0.95,0.75,1,2.04,1,4,0.0062,0
73,Mistral Large,Customer Support,Translation,1430,1630,0.74,0.83,1,5.11,0,4,0.0127,0
74,Mistral Large,Coding,RAG,1699,2103,1.48,0.83,0,6.56,1,4,0.0278,0
75,Claude 3.7,Customer Support,Summarization,1566,2578,0.08,0.63,1,3.18,1,4,0.0503,0
76,Llama 3.1,Legal,Code Generation,1463,1715,0.24,0.78,0,6.34,0,4,0.0071,0
77,Claude 3.7,Retail,Code Generation,607,1562,0.76,0.64,0,7.47,1,4,0.0139,0
78,Qwen 2.5,Education,Translation,1810,2869,0.2,0.53,1,8.49,1,4,0.0059,0
79,Mistral Large,Education,Summarization,1197,1897,1.5,0.74,1,2.86,1,5,0.0223,0
80,Mistral Large,Legal,Code Generation,1438,2109,0.36,0.69,0,8.67,1,4,0.031,0
81,GPT-4o,Customer Support,RAG,1632,2680,1.23,0.99,0,6.1,0,5,0.0214,0
82,Gemma 3,Retail,Code Generation,214,387,0.79,0.73,0,6.1,1,4,0.0075,0
83,GPT-4o,Finance,Code Generation,824,1843,0.97,0.93,1,7.88,1,5,0.0049,0
84,GPT-4o,Healthcare,Classification,1411,1636,1.38,1.0,0,7.79,1,4,0.0237,0
85,Llama 3.1,Healthcare,Translation,1640,2819,0.08,0.68,1,5.61,0,5,0.0148,0
86,Qwen 2.5,Healthcare,RAG,1793,2757,0.57,0.84,0,6.32,0,5,0.0283,0
87,Gemma 3,Finance,RAG,1855,2743,0.43,0.77,1,3.09,1,5,0.028,0
88,Gemma 3,Healthcare,Translation,1757,1821,0.72,0.62,1,6.86,1,5,0.0252,0
89,Qwen 2.5,Finance,Translation,1781,2272,1.03,0.87,1,2.81,1,5,0.019,0
90,Claude 3.7,Education,Code Generation,523,623,1.02,0.86,0,6.0,0,4,0.0062,0
91,Gemma 3,Retail,Translation,279,569,0.14,0.65,0,6.38,0,5,0.0101,0
92,GPT-4o,Finance,Summarization,1880,2593,0.41,0.58,1,9.68,1,4,0.027,0
93,Mistral Large,Education,Code Generation,1771,2599,1.01,0.84,0,5.51,1,3,0.0303,0
94,Claude 3.7,Education,Translation,1543,2041,1.01,0.79,0,8.54,1,4,0.0268,0
95,Gemma 3,Legal,QA,463,721,0.97,0.82,1,4.4,1,4,0.0137,0
96,Mistral Large,Retail,RAG,209,545,0.35,0.77,1,3.49,1,5,0.0075,0
97,Qwen 2.5,Education,Translation,1933,2436,1.43,0.52,1,5.51,1,5,0.0092,0
98,Qwen 2.5,Retail,QA,1856,2807,1.47,0.68,0,5.63,0,4,0.0163,0
99,Llama 3.1,Education,Summarization,113,1268,1.18,0.62,0,1.32,0,4,0.0075,1
100,Qwen 2.5,Customer Support,QA,1625,2751,1.35,0.5,0,8.93,0,4,0.0141,0
101,Mistral Large,Retail,QA,279,655,0.02,0.89,0,2.4,1,4,0.0028,0
102,Qwen 2.5,Customer Support,Code Generation,1537,2588,0.1,0.72,1,4.95,0,4,0.0338,1
103,Mistral Large,Healthcare,QA,1077,1970,0.45,0.82,1,1.79,1,5,0.0213,0
104,Mistral Large,Healthcare,Code Generation,669,1775,0.91,0.53,1,3.18,1,4,0.0197,0
105,Mistral Large,Legal,RAG,244,1188,1.28,0.83,1,6.5,0,5,0.0112,0
106,GPT-4o,Legal,QA,1504,2495,0.14,0.71,0,7.27,1,3,0.0423,0
107,Mistral Large,Customer Support,Code Generation,1534,2395,1.11,0.91,0,6.46,1,4,0.0335,0
108,Claude 3.7,Education,QA,115,1122,1.45,0.8,0,3.09,0,4,0.0044,1
109,Gemma 3,Education,Classification,1571,1650,0.42,0.61,1,5.51,0,4,0.0242,0
110,Mistral Large,Legal,RAG,22,104,0.27,0.57,0,5.35,0,4,0.0012,0
111,Qwen 2.5,Healthcare,Classification,708,1046,0.24,0.66,0,3.62,0,4,0.0137,1
112,Gemma 3,Coding,Code Generation,917,1986,0.99,0.74,0,4.79,1,4,0.0193,0
113,Llama 3.1,Customer Support,Classification,1224,1259,0.73,0.83,0,2.08,1,4,0.0239,0
114,Claude 3.7,Customer Support,Code Generation,602,1400,0.49,0.5,0,6.78,0,4,0.0086,0
115,Claude 3.7,Legal,Translation,1661,2622,0.53,0.7,0,8.06,1,5,0.0459,0
116,Qwen 2.5,Education,QA,838,1209,1.06,0.71,1,2.15,0,5,0.0159,1
117,Llama 3.1,Healthcare,Translation,904,1559,1.27,0.62,1,5.92,0,5,0.0093,0
118,Llama 3.1,Finance,Translation,1306,1628,0.17,0.75,1,8.9,1,3,0.0075,0
119,Claude 3.7,Coding,Code Generation,323,1497,1.14,0.83,1,1.99,1,5,0.0151,0
120,Gemma 3,Retail,QA,1289,2269,0.48,0.99,0,4.28,1,4,0.0169,0
121,GPT-4o,Retail,Translation,730,1337,0.76,0.66,1,4.64,0,4,0.0235,1
122,Mistral Large,Retail,Summarization,1048,2238,0.58,0.79,1,8.95,0,4,0.0174,0
123,Qwen 2.5,Legal,RAG,1971,3024,0.09,0.55,0,9.68,1,4,0.0082,0
124,GPT-4o,Customer Support,Code Generation,1083,1940,0.78,0.58,1,4.46,1,5,0.0276,0
125,Claude 3.7,Customer Support,Summarization,1335,1871,0.5,0.66,1,6.22,1,4,0.0259,0
126,Gemma 3,Retail,RAG,692,976,0.12,0.83,1,8.22,1,4,0.0184,0
127,Llama 3.1,Finance,Classification,1327,2388,1.19,0.91,1,7.09,0,4,0.0204,0
128,Claude 3.7,Customer Support,Code Generation,1950,2575,1.15,0.6,0,10.44,0,5,0.0098,0
129,Claude 3.7,Customer Support,Summarization,1819,2154,0.79,0.83,1,9.31,0,4,0.0365,0
130,Llama 3.1,Retail,Summarization,1486,2089,0.66,0.71,1,7.33,0,5,0.0337,0
131,Gemma 3,Customer Support,RAG,643,1831,1.45,0.89,1,8.05,0,5,0.0189,0
132,Claude 3.7,Healthcare,Code Generation,1039,1165,0.79,0.98,1,7.87,0,4,0.0207,0
133,Mistral Large,Healthcare,Summarization,1742,2682,0.77,0.56,1,3.03,0,5,0.0125,1
134,GPT-4o,Education,Summarization,1682,2730,0.68,0.67,1,2.51,0,5,0.0244,1
135,Mistral Large,Coding,Summarization,67,368,0.48,0.55,0,5.86,1,3,0.0068,0
136,Qwen 2.5,Retail,Translation,1564,2108,1.06,0.72,0,2.2,0,4,0.0099,1
137,GPT-4o,Healthcare,RAG,876,1755,0.17,0.64,0,3.64,0,5,0.0232,1
138,Claude 3.7,Legal,Summarization,1232,2131,0.8,0.82,1,6.23,0,4,0.0178,0
139,Gemma 3,Education,Code Generation,1370,2352,1.0,0.76,1,4.73,0,4,0.0211,1
140,Qwen 2.5,Finance,Code Generation,43,336,0.54,0.53,1,2.13,0,4,0.004,1
141,Llama 3.1,Healthcare,Classification,961,1918,1.47,0.74,0,2.82,0,4,0.0108,1
142,Gemma 3,Customer Support,QA,1921,2015,0.47,0.7,1,8.96,1,4,0.011,0
143,Llama 3.1,Legal,Code Generation,1783,2703,0.98,0.64,1,8.66,1,5,0.0242,0
144,Llama 3.1,Retail,Classification,1028,1209,0.55,0.9,1,3.57,0,5,0.0241,1
145,GPT-4o,Coding,Classification,667,1028,0.15,0.66,1,3.34,1,5,0.0086,0
146,Qwen 2.5,Finance,QA,1269,2120,1.5,0.64,0,9.43,0,4,0.0348,0
147,Mistral Large,Retail,QA,302,805,1.27,0.84,0,4.0,0,5,0.0069,1
148,Gemma 3,Coding,Classification,1249,2444,0.23,0.72,0,4.65,1,4,0.021,0
149,Llama 3.1,Retail,Classification,521,1077,1.44,0.51,0,2.3,1,5,0.0158,0
150,GPT-4o,Customer Support,Code Generation,1431,1804,1.37,0.75,1,2.95,0,5,0.0181,1
151,Qwen 2.5,Coding,Summarization,1991,2625,1.27,0.66,1,5.4,0,5,0.0389,0
152,Gemma 3,Legal,Translation,1635,2666,0.54,0.61,0,9.93,0,3,0.0319,0
153,Gemma 3,Coding,QA,275,1133,0.92,0.54,1,2.96,1,5,0.0038,0
154,GPT-4o,Retail,Summarization,931,1837,0.7,0.76,0,2.36,0,5,0.0324,1
155,Claude 3.7,Education,Summarization,632,813,0.25,0.66,1,6.52,1,4,0.0109,0
156,Claude 3.7,Education,Translation,1290,1660,0.45,0.77,0,5.73,0,5,0.0249,0
157,Mistral Large,Coding,Translation,94,1285,1.24,0.51,0,0.67,1,5,0.0173,0
158,Mistral Large,Legal,RAG,603,1551,0.96,0.65,1,2.86,1,4,0.0048,0
159,Claude 3.7,Healthcare,Classification,961,1797,0.31,0.8,1,3.84,1,4,0.0156,0
160,Mistral Large,Finance,Summarization,505,1119,0.7,0.63,0,2.77,0,5,0.0196,1
161,Mistral Large,Healthcare,QA,1676,2750,0.49,0.79,1,4.73,0,4,0.049,1
162,Qwen 2.5,Coding,RAG,1945,2068,0.59,0.73,0,4.51,1,4,0.0264,0
163,Claude 3.7,Retail,Summarization,595,1440,0.81,0.92,1,4.3,1,4,0.0133,0
164,Gemma 3,Retail,Classification,752,1035,0.83,0.54,0,5.07,1,5,0.0094,0
165,Mistral Large,Retail,RAG,1556,1655,0.22,0.8,0,5.28,0,4,0.0132,0
166,Gemma 3,Retail,Classification,315,1139,0.91,0.76,0,3.15,1,5,0.0174,0
167,Mistral Large,Retail,Classification,1048,1102,1.24,0.77,1,7.04,1,4,0.0156,0
168,Llama 3.1,Retail,Code Generation,1641,2127,1.35,0.94,1,7.16,1,4,0.0266,0
169,GPT-4o,Legal,Classification,1486,2678,0.93,0.92,0,3.21,0,5,0.0107,1
170,Qwen 2.5,Legal,Translation,867,1169,0.23,0.85,0,4.48,1,4,0.0141,0
171,Llama 3.1,Education,Translation,781,1342,0.47,0.59,1,8.29,1,4,0.0073,0
172,Qwen 2.5,Education,Classification,621,1642,0.34,0.99,0,3.3,1,4,0.0136,0
173,Qwen 2.5,Healthcare,Classification,259,578,0.86,0.77,1,7.51,1,4,0.0041,0
174,Claude 3.7,Coding,Translation,1902,3073,0.66,0.63,1,6.31,0,5,0.0137,0
175,GPT-4o,Coding,Summarization,500,725,0.36,0.83,0,4.97,0,4,0.0108,1
176,Gemma 3,Coding,QA,20,448,1.45,0.99,1,1.46,1,5,0.0032,0
177,GPT-4o,Customer Support,RAG,1869,2744,1.15,0.83,0,4.35,0,5,0.0142,1
178,Gemma 3,Education,RAG,1623,1661,0.74,0.97,0,9.73,1,3,0.0213,0
179,Qwen 2.5,Legal,Code Generation,1323,1737,0.81,0.75,1,9.17,1,4,0.0138,0
180,Mistral Large,Customer Support,RAG,536,915,1.08,0.51,0,3.5,1,5,0.0123,0
181,Mistral Large,Finance,RAG,1065,1747,0.49,0.7,1,2.28,0,5,0.0037,1
182,GPT-4o,Legal,Classification,1553,2309,0.4,0.66,1,6.68,0,5,0.0072,0
183,Llama 3.1,Legal,Summarization,337,961,0.61,0.75,0,7.6,1,4,0.0057,0
184,GPT-4o,Retail,RAG,941,1467,1.12,0.8,0,4.62,1,5,0.0187,0
185,Claude 3.7,Legal,QA,1091,2283,1.06,0.54,0,5.96,0,4,0.0113,0
186,Claude 3.7,Healthcare,Translation,1403,2351,0.31,0.79,0,2.66,1,4,0.0223,0
187,Gemma 3,Coding,QA,956,1422,1.01,0.65,0,1.56,1,5,0.004,0
188,Qwen 2.5,Coding,Code Generation,1118,1725,1.49,0.97,0,2.14,1,4,0.0273,0
189,Claude 3.7,Finance,Code Generation,1983,2167,0.63,1.0,1,5.66,1,4,0.0301,0
190,Mistral Large,Coding,Code Generation,1771,1798,0.52,0.59,0,6.6,0,5,0.0353,0
191,Qwen 2.5,Customer Support,QA,1125,1462,0.64,0.69,1,3.4,1,4,0.0276,0
192,Mistral Large,Retail,Code Generation,75,517,1.21,0.71,0,6.27,0,4,0.0066,0
193,GPT-4o,Finance,Translation,1450,2575,1.31,0.62,0,2.36,1,4,0.0452,0
194,Claude 3.7,Finance,RAG,602,1240,0.35,0.96,0,5.45,1,5,0.0245,0
195,Qwen 2.5,Coding,RAG,625,1783,0.41,0.78,1,5.6,0,4,0.0348,0
196,Llama 3.1,Education,Code Generation,1619,2015,0.79,0.85,1,5.41,1,5,0.0212,0
197,Qwen 2.5,Healthcare,RAG,305,1120,1.21,0.96,0,4.97,1,4,0.0063,0
198,GPT-4o,Finance,Translation,1744,2536,0.56,0.77,1,8.85,0,4,0.0326,0
199,Qwen 2.5,Healthcare,Code Generation,1493,1544,1.01,0.61,1,3.7,1,4,0.0084,0
200,Mistral Large,Legal,Translation,1554,2064,0.72,0.62,1,6.86,0,4,0.0329,0
201,Gemma 3,Finance,Classification,1338,1559,0.54,0.63,1,5.87,1,5,0.0234,0
202,Qwen 2.5,Legal,Classification,650,1204,0.62,0.78,0,2.74,0,5,0.0151,1
203,Gemma 3,Customer Support,RAG,322,1469,0.29,0.62,1,5.05,0,5,0.021,0
204,Claude 3.7,Coding,QA,1989,2295,1.09,0.87,0,6.28,1,4,0.0248,0
205,GPT-4o,Coding,Summarization,1083,1947,0.05,0.92,0,8.93,0,4,0.026,0
206,GPT-4o,Healthcare,Translation,28,80,0.33,0.73,1,0.71,1,4,0.001,0
207,Llama 3.1,Finance,Translation,1489,1728,0.41,0.99,0,2.19,1,5,0.0198,0
208,Qwen 2.5,Finance,Classification,1088,1939,0.38,0.68,1,7.76,0,4,0.0124,0
209,GPT-4o,Coding,QA,1410,2260,1.24,0.54,0,9.7,0,4,0.027,0
210,Qwen 2.5,Retail,RAG,1449,2550,0.26,0.75,0,5.4,1,5,0.0156,0
211,Llama 3.1,Customer Support,Code Generation,565,1229,0.07,0.54,0,8.13,0,3,0.007,0
212,Llama 3.1,Customer Support,Code Generation,1691,2818,0.6,0.54,1,3.58,0,4,0.044,1
213,Claude 3.7,Retail,RAG,1493,1988,0.12,0.87,1,4.76,0,5,0.0162,1
214,Mistral Large,Finance,Code Generation,1994,2481,1.16,0.51,1,4.82,1,4,0.047,0
215,Qwen 2.5,Finance,Code Generation,1209,1397,0.99,0.54,0,6.54,0,4,0.0123,0
216,GPT-4o,Finance,RAG,807,1564,0.48,0.55,1,1.25,1,5,0.006,0
217,Gemma 3,Customer Support,RAG,929,2084,0.84,0.76,1,2.17,0,4,0.0266,1
218,Gemma 3,Legal,Summarization,35,834,0.44,0.69,0,0.9,0,4,0.0057,1
219,Mistral Large,Retail,Translation,139,674,0.25,0.64,1,2.71,0,5,0.0101,1
220,Gemma 3,Legal,Code Generation,410,1208,0.69,0.57,1,0.77,1,5,0.0096,0
221,Gemma 3,Education,Code Generation,1227,1890,0.2,0.66,1,9.12,0,4,0.0173,0
222,GPT-4o,Retail,Summarization,1433,2027,0.95,0.98,1,8.09,1,4,0.0184,0
223,Qwen 2.5,Healthcare,RAG,1222,1671,1.5,0.59,1,7.71,0,4,0.0121,0
224,Mistral Large,Retail,RAG,1388,2180,0.75,0.82,1,3.82,0,4,0.0432,1
225,GPT-4o,Customer Support,Summarization,1104,2223,0.76,0.96,1,6.98,0,4,0.041,0
226,Llama 3.1,Retail,Code Generation,1356,2257,1.0,0.58,1,6.67,1,3,0.0085,0
227,Claude 3.7,Finance,Classification,1072,2040,0.84,0.84,1,3.26,1,5,0.0257,0
228,Llama 3.1,Retail,RAG,60,370,0.72,0.65,0,7.46,0,4,0.003,0
229,GPT-4o,Customer Support,Classification,723,1357,0.71,0.72,0,6.54,1,3,0.0201,0
230,Mistral Large,Finance,RAG,1337,2487,0.16,0.9,0,9.12,0,4,0.03,0
231,Qwen 2.5,Finance,Summarization,1299,2239,0.28,0.82,0,5.19,0,5,0.0201,0
232,Gemma 3,Coding,RAG,580,1349,1.13,0.9,0,1.41,0,5,0.0138,1
233,Llama 3.1,Customer Support,Code Generation,1090,1822,1.45,0.66,0,4.59,1,4,0.0187,0
234,Gemma 3,Coding,Summarization,1455,1716,1.2,0.96,1,6.62,0,4,0.007,0
235,Qwen 2.5,Finance,Translation,1056,2072,0.58,0.8,0,6.0,1,4,0.03,0
236,Llama 3.1,Customer Support,RAG,351,1106,0.73,0.57,0,3.09,1,5,0.0119,0
237,GPT-4o,Customer Support,Summarization,1983,2912,0.84,0.83,1,5.87,1,4,0.0102,0
238,Gemma 3,Customer Support,Translation,608,1753,0.05,0.61,1,3.21,1,4,0.0216,0
239,Llama 3.1,Education,QA,1696,2586,1.49,0.77,0,8.22,1,3,0.0438,0
240,Gemma 3,Customer Support,Code Generation,931,1380,0.39,0.93,0,2.04,0,5,0.0174,1
241,Claude 3.7,Retail,Summarization,1259,1400,0.95,0.58,0,2.86,0,5,0.0162,1
242,Qwen 2.5,Finance,Code Generation,672,1534,1.47,0.65,0,5.51,0,5,0.0305,0
243,Qwen 2.5,Legal,RAG,1783,2805,0.2,0.57,1,4.94,0,4,0.0375,1
244,Claude 3.7,Healthcare,Code Generation,935,1710,0.11,0.9,1,7.37,1,4,0.0184,0
245,Llama 3.1,Legal,Classification,200,1314,1.1,0.73,0,5.63,1,4,0.0255,0
246,Mistral Large,Healthcare,QA,671,790,1.24,0.67,1,5.55,1,3,0.0105,0
247,Gemma 3,Healthcare,Code Generation,1913,2203,1.29,0.72,0,2.6,1,5,0.0164,0
248,Llama 3.1,Legal,Code Generation,748,1579,0.38,0.69,0,8.18,0,4,0.0238,0
249,Qwen 2.5,Education,QA,196,1279,1.06,0.5,0,4.16,0,5,0.0028,1
250,Gemma 3,Finance,RAG,1771,2000,0.63,0.57,0,2.97,1,4,0.0172,0
251,Llama 3.1,Legal,Classification,1594,2700,1.22,0.94,0,7.2,0,4,0.0351,0
252,GPT-4o,Retail,Code Generation,1489,1686,0.32,0.87,0,9.24,1,4,0.0076,0
253,Qwen 2.5,Retail,Classification,796,988,0.53,0.71,1,7.37,0,4,0.0127,0
254,Mistral Large,Education,Code Generation,1605,2685,1.41,0.51,0,8.81,1,4,0.0145,0
255,Claude 3.7,Healthcare,Classification,121,634,1.18,0.9,0,2.22,1,5,0.008,0
256,GPT-4o,Healthcare,Translation,1922,3060,0.47,0.69,1,9.15,1,4,0.0481,0
257,Mistral Large,Healthcare,Code Generation,148,1194,0.02,0.61,1,7.58,1,4,0.0115,0
258,Qwen 2.5,Customer Support,Code Generation,1108,1446,0.81,0.58,0,2.24,0,5,0.0131,1
259,Mistral Large,Retail,Translation,1404,1924,0.96,0.66,0,5.37,0,4,0.0189,0
260,Gemma 3,Retail,Translation,122,423,0.46,0.87,0,6.13,0,5,0.0021,0
261,Claude 3.7,Healthcare,Classification,1613,1693,1.23,0.63,0,5.12,1,4,0.0165,0
262,Llama 3.1,Education,QA,1468,2511,1.46,0.81,0,5.9,1,5,0.0126,0
263,Mistral Large,Finance,Summarization,1841,1886,0.86,0.86,0,4.28,0,4,0.0198,1
264,Gemma 3,Education,QA,1917,2596,1.44,0.52,0,8.86,1,3,0.048,0
265,GPT-4o,Legal,Classification,1180,2256,0.56,0.75,0,8.71,0,5,0.0433,0
266,Qwen 2.5,Retail,Summarization,1594,2024,1.27,0.66,1,6.51,0,4,0.0326,0
267,Llama 3.1,Retail,Classification,960,1288,0.55,0.99,0,9.18,0,3,0.0121,0
268,Llama 3.1,Legal,RAG,1312,1961,1.26,0.94,1,9.26,0,3,0.0226,0
269,Qwen 2.5,Education,RAG,1978,2472,0.09,1.0,0,8.22,0,5,0.0281,0
270,Llama 3.1,Finance,Classification,1541,2723,0.13,0.55,0,3.17,1,4,0.0379,0
271,Llama 3.1,Finance,Translation,544,1491,1.28,0.96,1,3.95,1,4,0.005,0
272,Mistral Large,Education,RAG,233,1350,0.23,0.58,0,4.13,1,4,0.0214,0
273,GPT-4o,Coding,Summarization,552,1012,1.28,0.55,0,7.19,1,5,0.008,0
274,Claude 3.7,Coding,Translation,1993,2076,0.53,0.76,0,7.97,1,5,0.0361,0
275,Llama 3.1,Finance,RAG,521,667,0.14,0.55,0,7.04,0,5,0.0131,0
276,Qwen 2.5,Legal,Summarization,772,836,1.03,0.97,0,1.82,1,5,0.0046,0
277,Qwen 2.5,Legal,RAG,198,321,1.36,0.91,1,3.03,0,4,0.004,1
278,Claude 3.7,Retail,Translation,70,663,0.57,0.71,1,3.05,0,5,0.0031,1
279,Llama 3.1,Coding,Translation,513,712,0.97,0.75,0,7.73,1,4,0.0032,0
280,Claude 3.7,Retail,Classification,520,1522,0.95,0.9,1,7.05,1,4,0.0163,0
281,Gemma 3,Customer Support,Translation,805,944,0.41,0.51,1,5.86,0,5,0.0099,0
282,Mistral Large,Education,Summarization,486,955,1.46,0.55,0,5.93,1,4,0.0188,0
283,Claude 3.7,Finance,RAG,370,1110,0.35,0.66,0,6.42,1,5,0.0135,0
